A*,Greedy Best First,Genetic,CSP
12065.19099196377,29805.71255014101,2587.29292818258,18960.624827017364
11578.918688578719,25449.151753024475,8801.6039041344,8945.13139230896
17980.03799601519,5863.127271598985,2277.401978364238,5538.007748232504
17422.35752948148,8105.405975721822,2290.1431012533294,8067.670937734731
11558.147272193617,21881.99082887582,14872.894618374321,3095.395028480767
28458.281095826926,14256.205823186794,3109.536027235567,17056.19117129497
22560.78622605992,20107.812615354676,2570.299197894508,10572.38510676506
2347.4350976172714,28921.86061747703,11131.48395034077,6008.961224048349
8081.700631029902,10818.070386935628,2466.174409319735,3387.881846672177
28750.30583709167,27399.867184328516,16476.531081335215,9965.822174378942
20086.95269709214,22928.027149090587,16279.870579141387,8569.746483569419
16246.576624631805,18912.382220724652,6183.777649585253,8652.64457411755
10144.665223933263,17338.816780816847,15684.35860905316,5612.7922130348925
16128.425153399721,28232.502774684886,3545.2037151805143,5572.083904422219
25370.308400417605,29943.122101776178,2281.126620444675,8698.892413354442
9324.492770622639,23096.187630667828,24397.91632035156,11869.999574223057
12431.936577820084,25134.27903165515,2257.923092569033,21680.30144864032
7626.272866764866,15863.295074358126,3272.4285018207975,2872.8986629163924
6831.690946985109,9041.39965650561,2229.4263277483433,24593.928860063857
8273.954053585927,27489.680333294225,2243.94614292182,12190.579276849143
